"treatment","g2pname","genotype","DASanthesis","DASmaturity","DATanthesis","DATmaturity","fruitno","fruitlength","fruitwidth","fruitshapeindex","fruitweight","yield","pollenconcentration","pollenactivity","cluster"
"stress2","GPC005600","PPC51",63,95,27,59,16.3433333333333,3.9,2.1,1.86666666666667,5.8,0.736666666666667,14368.6666666667,7.84666666666667,2
"stress2","GPC005820","PPC52",56.6666666666667,84,20.6666666666667,48,41.5633333333333,4.63333333333333,2.1,2.20333333333333,6.46666666666667,2.11,18662.3333333333,13.4366666666667,2
"stress2","GPC006110","PPC53",64.6666666666667,117.666666666667,28.6666666666667,81.6666666666667,12.75,9.76666666666667,1.7,5.76666666666667,9,0.853333333333333,16199.3333333333,3.15333333333333,2
"stress2","GPC006530","PPC54",63,96,27,60,12.8233333333333,6.74,4.39333333333333,1.54333333333333,32.8,3.00333333333333,35298.3333333333,4.49333333333333,2
"stress2","GPC006610","PPC55",66,96.3333333333333,30,60.3333333333333,70.172942079018,3.77331416155419,1.56415388548057,2.5962768404908,8.05294734151329,3.11631915165453,9054,14.48,2
"stress2","GPC006660","PPC56",72.3333333333333,104.666666666667,36.3333333333333,68.6666666666667,140.206666666667,2.7,1.16666666666667,2.32666666666667,1.93333333333333,2.00666666666667,17672.2902143042,53.4648902659437,2
"stress2","GPC006820","PPC57",60.3333333333333,91.6666666666667,24.3333333333333,55.6666666666667,16.82,10.5666666666667,2.43333333333333,4.34666666666667,14.9666666666667,1.89,17188,5.02666666666667,2
"stress2","GPC006940","PPC58",69,94,33,58,15.7433333333333,5.41,2.16,2.51,8.53333333333333,0.996666666666667,5575,4.06333333333333,2
"stress2","GPC006960","PPC59",70.6666666666667,108.666666666667,34.6666666666667,72.6666666666667,2.97333333333333,3.83333333333333,6.08333333333333,0.633333333333333,47.5,1.18333333333333,31028.3333333333,1.9,2
"stress2","GPC007080","PPC60",56.6666666666667,87.3333333333333,20.6666666666667,51.3333333333333,133.796666666667,3.03333333333333,0.9,3.37,1.33333333333333,1.33,4114.66666666667,5.48,2
"stress2","GPC007370","PPC61",70,101.333333333333,34,65.3333333333333,53.4,3.5,1.86666666666667,1.86333333333333,4.33333333333333,1.71666666666667,13446,12.0333333333333,2
"stress2","GPC007520","PPC62",60.3333333333333,93.3333333333333,24.3333333333333,57.3333333333333,8.61,6.42666666666667,2.32666666666667,2.75,10.95,0.683333333333333,27422,14.9866666666667,2
"stress2","GPC007580","PPC64",80,122.294781273983,44,84.0062164236378,37.4792174913694,5.34662832310838,2.06164110429448,3.28922034764826,15.0392280163599,5.44597163664239,6165,3.45666666666667,2
"stress2","GPC007680","PPC65",58,90,22,54,17.9566666666667,6.46666666666667,2.66666666666667,2.45666666666667,12.9333333333333,1.69,38818,3.95666666666667,2
"stress2","GPC008250","PPC66",69,110,33,74,34.4062754123514,4.20664749488753,2.19748721881391,2.06961017382413,9.18628067484663,3.14631915165453,9079.81177381874,20.2174451329719,2
"stress2","GPC008380","PPC67",64.6666666666667,98,28.6666666666667,62,14.66,2.43333333333333,5.03333333333333,0.483333333333333,27.4,3.16333333333333,17441.8117738187,23.0007784663052,2
"stress2","GPC008400","PPC68",69,94,33,58,15.1533333333333,2.7,4.6,0.59,27,3.29333333333333,18025.3333333333,4.28,2
"stress2","GPC008580","PPC69",69,95,33,59,5.90333333333333,4.5,3.47333333333333,1.28333333333333,17.2766666666667,0.736666666666667,13032,2.66666666666667,2
"stress2","GPC009310","PPC70",63,90.6666666666667,27,54.6666666666667,5.87333333333333,6.32333333333333,3.46666666666667,1.82333333333333,20.6233333333333,0.88,24583.6666666667,7,2
"stress2","GPC010110","PPC71",62.3333333333333,90.6666666666667,26.3333333333333,54.6666666666667,11.9833333333333,5.75,3.53333333333333,1.62666666666667,17.5333333333333,1.57333333333333,24047,2.82,2
"stress2","GPC010130","PPC72",58,93.3333333333333,22,57.3333333333333,28.2066666666667,2.93333333333333,3.26666666666667,0.913333333333333,11.6666666666667,2.46666666666667,17263,4.96,2
"stress2","GPC010190","PPC73",56.6666666666667,94,20.6666666666667,58,47.7933333333333,4.66666666666667,2.23333333333333,2.09333333333333,8.13333333333333,2.68666666666667,14084.6666666667,13.7366666666667,2
"stress2","GPC010200","PPC74",56.6666666666667,87.3333333333333,20.6666666666667,51.3333333333333,14.6366666666667,2.81,4.29,0.696666666666667,27.4666666666667,3.16666666666667,52609.3333333333,8.91333333333333,2
"stress2","GPC010240","PPC75",64.6666666666667,100.333333333333,28.6666666666667,64.3333333333333,56.08,2.03333333333333,1.96666666666667,1.03333333333333,3.8,1.6,12963.6666666667,1.98,2
"stress2","GPC010350","PPC76",54.3333333333333,94.6666666666667,18.3333333333333,58.6666666666667,55.38,3.3,0.966666666666667,3.42666666666667,1.2,0.51,12094.4784404854,28.1441117996385,2
"stress2","GPC010900","PPC77",61.6666666666667,87.6666666666667,25.6666666666667,51.6666666666667,40.2566666666667,10.5666666666667,2,5.35,12.0666666666667,3.71,7682.33333333333,7.21,2
"stress2","GPC011000","PPC78",63,95.3333333333333,27,59.3333333333333,37.4966666666667,4.16666666666667,1.16666666666667,3.57333333333333,2.8,0.79,26022.3333333333,32.6333333333333,2
"stress2","GPC011040","PPC79",63,110.942171910975,27,71.5093246354566,14.6833333333333,4.4,1.43333333333333,3.06,3.77666666666667,0.463333333333333,12275.1451071521,29.8341117996385,2
"stress2","GPC011120","PPC80",66,97,30,61,26.34,5.3,2.43333333333333,2.18,8.51666666666667,1.67,25840,4.55,2
"stress2","GPC011350","PPC81",60.3333333333333,94,24.3333333333333,58,13.5066666666667,5.66,4.16,1.35666666666667,18.4833333333333,1.98333333333333,20564.3333333333,3.23666666666667,2
"stress2","GPC011440","PPC82",66,94,30,58,29.52,9.73333333333333,2.93333333333333,3.32333333333333,22.5333333333333,4.9,29076.3333333333,18.7133333333333,2
"stress2","GPC011480","PPC83",69,95,33,59,18.6166666666667,6.35666666666667,2.21666666666667,2.84,11.0433333333333,1.72,27536,3.13666666666667,2
"stress2","GPC011510","PPC84",72,94.6666666666667,36,58.6666666666667,33,3.42666666666667,1.41666666666667,2.41,2.86666666666667,0.8,7967,19.4433333333333,2
"stress2","GPC011580","PPC85",59,93.3333333333333,23,57.3333333333333,40.0433333333333,4.03333333333333,2.06666666666667,1.95,5.86666666666667,1.88,14998.3333333333,4.89,2
"stress2","GPC011650","PPC86",66,90.6666666666667,30,54.6666666666667,22.3433333333333,9.4,3,3.13333333333333,20.0666666666667,3.96666666666667,31181.3333333333,5.23,2
"stress2","GPC011680","PPC87",73,104.980723970325,37,67.8364415451522,15.642942079018,5.67331416155419,3.09748721881391,2.1362768404908,15.4529473415133,2.84965248498786,19569,1.1,2
"stress2","GPC014350","PPC88",56.6666666666667,95.3333333333333,20.6666666666667,59.3333333333333,49.7766666666667,1.61666666666667,0.86,1.88,0.65,0.223333333333333,23281.4353214562,58.9723353989156,2
"stress2","GPC014360","PPC89",60.3333333333333,93.3333333333333,24.3333333333333,57.3333333333333,13.23,1.5,1.37666666666667,1.09333333333333,1.13333333333333,0.123333333333333,9201.66666666667,2.29666666666667,2
"stress2","GPC014400","PPC90",59,93.3333333333333,23,57.3333333333333,16.5833333333333,1.9,1.06666666666667,1.78666666666667,0.8,0.0966666666666667,7854.66666666667,4.35666666666667,2
"stress2","GPC014460","PPC91",60.3333333333333,93.3333333333333,24.3333333333333,57.3333333333333,46.96,2.46666666666667,1.23333333333333,2.01,1.53333333333333,0.573333333333333,10355.3333333333,5.33333333333333,2
"stress2","GPC014610","PPC92",73,102,37,66,11.6833333333333,3.15,4.06666666666667,0.776666666666667,19,1.62333333333333,41959,22.69,2
"stress2","GPC014630","PPC93",61.6666666666667,94,25.6666666666667,58,6.52333333333333,3.26666666666667,3.71666666666667,0.876666666666667,16.9166666666667,0.813333333333333,25574,4.65,2
"stress2","GPC014680","PPC94",56.6666666666667,84,20.6666666666667,48,39.3233333333333,7.5,2.56666666666667,2.92333333333333,13.8666666666667,4.05333333333333,13566.6666666667,36.48,2
"stress2","GPC014750","PPC95",61.6666666666667,86.6666666666667,25.6666666666667,50.6666666666667,33.0366666666667,8.06666666666667,2.83333333333333,2.84333333333333,16.8,4.06,30539.3333333333,10.8,2
"stress2","GPC014930","PPC96",58,94,22,58,67.4,1.73333333333333,0.5,3.48333333333333,0.433333333333333,0.2,5707.33333333333,5.31333333333333,2
"stress2","GPC014940","PPC97",72,110.942171910975,36,71.5093246354566,31.6062754123514,4.54998082822086,1.34748721881391,4.67294350715746,7.95294734151329,2.83631915165453,12732.4784404854,21.9907784663052,2
"stress2","GPC015090","PPC98",72,110.942171910975,36,71.5093246354566,12.7466666666667,3.8,1.5,2.53333333333333,2.8,0.266666666666667,15225.6666666667,4.45666666666667,2
"stress2","GPC015450","PPC99",67.6666666666667,95,31.6666666666667,59,81.4833333333333,0.943333333333333,1,0.943333333333333,0.69,0.403333333333333,10025.4784404854,23.8941117996385,2
"stress2","GPC015800","PPC100",64.6666666666667,95.3333333333333,28.6666666666667,59.3333333333333,23.6866666666667,4.33333333333333,3.76666666666667,1.18333333333333,18.9333333333333,3.19,56259,4.57,2
"stress2","GPC015830","PPC101",69,99.6666666666667,33,63.6666666666667,6.92333333333333,3.44333333333333,4.97666666666667,0.686666666666667,28.59,1.66666666666667,5134,3.69,2
"stress2","GPC015960","PPC102",73,110.942171910975,37,71.5093246354566,76.6666666666667,0.866666666666667,0.933333333333333,0.926666666666667,0.533333333333333,0.333333333333333,5830.66666666667,7.58666666666667,2
"stress2","GPC016020","PPC103",66,94,30,58,2.84666666666667,3.41666666666667,4.5,0.76,20.5833333333333,0.456666666666667,11446.4784404854,20.1907784663052,2
"stress2","GPC016090","PPC104",61.6666666666667,98.6666666666667,25.6666666666667,62.6666666666667,38.2,5.92333333333333,2.86666666666667,2.07666666666667,12.2233333333333,3.54666666666667,35699,12.27,2
"stress2","GPC016110","PPC105",60.3333333333333,90.6666666666667,24.3333333333333,54.6666666666667,17.9533333333333,7.73333333333333,3.4,2.27333333333333,24.2666666666667,3.36333333333333,16157.3333333333,2.83666666666667,2
"stress2","GPC016200","PPC106",63.3333333333333,97.3333333333333,27.3333333333333,61.3333333333333,9.71333333333333,4.71,1.61,2.91333333333333,5.35666666666667,0.426666666666667,14160.6666666667,3.76333333333333,2
"stress2","GPC016300","PPC107",60.3333333333333,93.3333333333333,24.3333333333333,57.3333333333333,29.4,7.33333333333333,2.07666666666667,3.52,8.11,1.9,32949.6666666667,26.2333333333333,2
"stress2","GPC016420","PPC108",69,93.3333333333333,33,57.3333333333333,16.38,6,2.58333333333333,2.32666666666667,10.9666666666667,1.32333333333333,12302.3333333333,3.39,2
"stress2","GPC016620","PPC109",72,90,36,54,13.26,5.06666666666667,4.17666666666667,1.21,30.4566666666667,2.94333333333333,25261.6666666667,4.20333333333333,2
"stress2","GPC016690","PPC110",66,94,30,58,11.9166666666667,3.41333333333333,2.32333333333333,1.48,5.82,0.503333333333333,16489.6666666667,4.91,2
"stress2","GPC016720","PPC111",70,104.666666666667,34,68.6666666666667,8.00333333333333,6.66,2.81666666666667,2.33666666666667,14.3,0.996666666666667,16804.6666666667,7.57333333333333,2
"stress2","GPC016730","PPC112",69,92.6666666666667,33,56.6666666666667,10.9933333333333,6.33333333333333,2.98333333333333,2.08666666666667,14.8666666666667,1.34666666666667,30207.6666666667,4.33333333333333,2
"stress2","GPC016740","PPC113",77.6666666666667,113,41.6666666666667,77,16.852942079018,4.50664749488753,2.76415388548057,1.87961017382413,12.11961400818,2.8529858183212,9123,8.89666666666667,2
"stress2","GPC016810","PPC114",84,110.942171910975,48,71.5093246354566,42.2188262370541,7.01994248466258,2.79246165644172,3.26883052147239,22.3588420245399,8.12895745496359,6915.33333333333,4.69333333333333,2
"stress2","GPC017030","PPC115",60.3333333333333,93.3333333333333,24.3333333333333,57.3333333333333,26.51,7,2.6,2.68,14.6,2.59333333333333,8451,4.7,2
